21-Jul-2022 16:51:11 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 3.49 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	7.4273624e-05	-1.8681190e+02
3.0236934e+03	7.2801139e-05	-1.8857801e+02
3.7178480e+03	7.1920029e-05	-1.9012082e+02
4.5713609e+03	7.1002430e-05	-1.8967369e+02
5.6208162e+03	7.0407171e-05	-1.8907364e+02
6.9111968e+03	7.0132745e-05	-1.9150032e+02
8.4978124e+03	6.8132943e-05	-1.9359670e+02
1.0448670e+04	6.5711264e-05	-1.9412377e+02
1.2847390e+04	6.3537013e-05	-1.9593190e+02
1.5796787e+04	6.1276281e-05	-1.9732434e+02
1.9423284e+04	6.1079858e-05	-1.9975677e+02
2.3882321e+04	5.9471955e-05	-2.0015139e+02
2.9365027e+04	5.5010026e-05	-2.0380084e+02
3.6106408e+04	5.2853462e-05	-2.0573150e+02
4.4395419e+04	5.0752904e-05	-2.0837975e+02
5.4587353e+04	4.7760529e-05	-2.1076723e+02
6.7119068e+04	4.4752509e-05	-2.1475819e+02
8.2527710e+04	4.0532326e-05	-2.1770367e+02
1.0147374e+05	3.8335221e-05	-2.2210090e+02
1.2476925e+05	3.4784175e-05	-2.2497718e+02
1.5341274e+05	3.1701638e-05	-2.2781495e+02
1.8863197e+05	2.7702217e-05	-2.3316749e+02
2.3193654e+05	2.4333470e-05	-2.3591882e+02
2.8518262e+05	2.1447698e-05	-2.3933359e+02
3.5065250e+05	1.9000892e-05	-2.4477654e+02
4.3115241e+05	1.5242650e-05	-2.4188316e+02
5.3013282e+05	1.1847074e-05	-2.4925870e+02
6.5183634e+05	1.0889004e-05	-2.5050499e+02
8.0147956e+05	8.1296229e-06	-2.5410038e+02
9.8547663e+05	7.0529806e-06	-2.5120393e+02
1.2117142e+06	6.0071994e-06	-2.3884649e+02
1.4898896e+06	5.0524700e-06	-2.3581744e+02
1.8319261e+06	4.0784645e-06	-2.3927595e+02
2.2524846e+06	3.9164314e-06	-2.3605312e+02
2.7695915e+06	3.0688139e-06	-2.2056385e+02
3.4054115e+06	3.2277852e-06	-2.2256281e+02
4.1871977e+06	2.9288474e-06	-2.2204323e+02
5.1484601e+06	1.5664788e-06	-2.1696759e+02
6.3304011e+06	2.6629250e-06	-2.2727063e+02
7.7836824e+06	1.2934109e-06	-2.8147695e+02
9.5705960e+06	2.4477521e-06	-2.7514295e+02
1.1767734e+07	2.0199204e-06	-2.1018918e+02
1.4469274e+07	1.4364067e-06	-9.9073332e+01
1.7791010e+07	1.0820312e-06	-9.9924954e+01
2.1875324e+07	1.7083668e-06	-3.6516995e+01
2.6897280e+07	1.8309965e-06	-1.1566795e+01
3.3072136e+07	1.4156457e-06	-5.8829420e+01
4.0664565e+07	1.3542965e-06	-2.9883856e+01
5.0000000e+07	1.1774630e-06	-8.9740580e+01
