21-Jul-2022 16:50:33 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 3.49 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	1.0507218e-04	-3.7833457e+00
3.0236934e+03	1.0574571e-04	-4.8975941e+00
3.7178480e+03	1.0271349e-04	-6.0530624e+00
4.5713609e+03	1.0206743e-04	-6.3559729e+00
5.6208162e+03	1.0109343e-04	-7.1508158e+00
6.9111968e+03	1.0058219e-04	-8.2399428e+00
8.4978124e+03	9.8166507e-05	-8.6688916e+00
1.0448670e+04	9.6170648e-05	-9.1109331e+00
1.2847390e+04	9.4677414e-05	-1.0843426e+01
1.5796787e+04	9.2910168e-05	-1.1967837e+01
1.9423284e+04	9.0615688e-05	-1.2612229e+01
2.3882321e+04	8.8452955e-05	-1.4885818e+01
2.9365027e+04	8.7168119e-05	-1.5665453e+01
3.6106408e+04	8.2409763e-05	-1.7884771e+01
4.4395419e+04	8.0334143e-05	-1.9348871e+01
5.4587353e+04	7.5863407e-05	-2.0698230e+01
6.7119068e+04	7.3471851e-05	-2.3965562e+01
8.2527710e+04	6.9719935e-05	-2.5945527e+01
1.0147374e+05	6.5772287e-05	-2.8230862e+01
1.2476925e+05	6.1604868e-05	-2.9786916e+01
1.5341274e+05	5.7835412e-05	-3.2690063e+01
1.8863197e+05	5.1883886e-05	-3.5566770e+01
2.3193654e+05	4.8231730e-05	-3.8276467e+01
2.8518262e+05	4.2898401e-05	-3.8706618e+01
3.5065250e+05	4.0639183e-05	-4.2378001e+01
4.3115241e+05	3.5661917e-05	-4.4344131e+01
5.3013282e+05	3.1015640e-05	-4.6280838e+01
6.5183634e+05	2.8365630e-05	-4.7668523e+01
8.0147956e+05	2.3777045e-05	-4.9611430e+01
9.8547663e+05	2.0882077e-05	-4.6539458e+01
1.2117142e+06	1.9074267e-05	-5.0250534e+01
1.4898896e+06	1.6904176e-05	-5.0033281e+01
1.8319261e+06	1.4280036e-05	-4.8117810e+01
2.2524846e+06	1.2829130e-05	-4.5555736e+01
2.7695915e+06	1.1145835e-05	-4.6647940e+01
3.4054115e+06	1.0785995e-05	-4.4886427e+01
4.1871977e+06	9.9622659e-06	-4.5647438e+01
5.1484601e+06	9.4550781e-06	-3.8111542e+01
6.3304011e+06	8.5779973e-06	-4.0899381e+01
7.7836824e+06	7.1150949e-06	-4.8811191e+01
9.5705960e+06	7.3214478e-06	-4.2806439e+01
1.1767734e+07	5.6756900e-06	-3.9898647e+01
1.4469274e+07	6.0517413e-06	-5.0719140e+01
1.7791010e+07	6.5600533e-06	-5.1776896e+01
2.1875324e+07	4.7213508e-06	-2.9287532e+01
2.6897280e+07	4.4474797e-06	-4.2640512e+01
3.3072136e+07	2.8541428e-06	-3.7005996e+01
4.0664565e+07	3.7661648e-06	-3.9044633e+01
5.0000000e+07	2.1725129e-06	-1.1154098e+02
