21-Jul-2022 16:59:1 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 3.49 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	7.7515721e-05	-6.7160128e+00
3.0236934e+03	7.6509352e-05	-7.3459438e+00
3.7178480e+03	7.5594278e-05	-7.7560636e+00
4.5713609e+03	7.4458768e-05	-8.8452046e+00
5.6208162e+03	7.3173465e-05	-9.7947196e+00
6.9111968e+03	7.1450200e-05	-1.1001158e+01
8.4978124e+03	6.9889860e-05	-1.2130103e+01
1.0448670e+04	6.8243747e-05	-1.3568139e+01
1.2847390e+04	6.6642209e-05	-1.5189527e+01
1.5796787e+04	6.4591582e-05	-1.6791231e+01
1.9423284e+04	6.2614888e-05	-1.8518641e+01
2.3882321e+04	6.0353173e-05	-2.0652695e+01
2.9365027e+04	5.8176888e-05	-2.3195263e+01
3.6106408e+04	5.5150206e-05	-2.5663173e+01
4.4395419e+04	5.2178887e-05	-2.8673360e+01
5.4587353e+04	4.9116810e-05	-3.0725650e+01
6.7119068e+04	4.6055715e-05	-3.3936146e+01
8.2527710e+04	4.2813020e-05	-3.6604247e+01
1.0147374e+05	3.9299050e-05	-4.0448674e+01
1.2476925e+05	3.6175663e-05	-4.3704508e+01
1.5341274e+05	3.2674906e-05	-4.7611360e+01
1.8863197e+05	2.9111527e-05	-5.0933596e+01
2.3193654e+05	2.5607416e-05	-5.4693190e+01
2.8518262e+05	2.2297517e-05	-5.7875467e+01
3.5065250e+05	1.9387035e-05	-6.2144831e+01
4.3115241e+05	1.6151562e-05	-6.4340365e+01
5.3013282e+05	1.3230382e-05	-6.7385734e+01
6.5183634e+05	1.1132163e-05	-6.8451292e+01
8.0147956e+05	9.2114997e-06	-6.9807124e+01
9.8547663e+05	7.4266354e-06	-6.9637524e+01
1.2117142e+06	6.1394279e-06	-6.6951013e+01
1.4898896e+06	5.4088409e-06	-6.4931632e+01
1.8319261e+06	4.5410628e-06	-6.4824374e+01
2.2524846e+06	3.9458476e-06	-5.6885095e+01
2.7695915e+06	3.4566542e-06	-5.5134282e+01
3.4054115e+06	3.0572433e-06	-5.2166545e+01
4.1871977e+06	3.1085033e-06	-4.9150406e+01
5.1484601e+06	2.7037706e-06	-4.4953286e+01
6.3304011e+06	2.5921964e-06	-4.2395782e+01
7.7836824e+06	2.2356930e-06	-4.5907154e+01
9.5705960e+06	2.2748340e-06	-3.8888252e+01
1.1767734e+07	2.0104928e-06	-4.1703015e+01
1.4469274e+07	1.8670936e-06	-3.7938775e+01
1.7791010e+07	1.5101669e-06	-4.3041989e+01
2.1875324e+07	1.4702557e-06	-4.4411535e+01
2.6897280e+07	1.2256382e-06	-3.1610249e+01
3.3072136e+07	1.4167075e-06	-4.2952061e+01
4.0664565e+07	1.2465455e-06	-4.6948521e+01
5.0000000e+07	6.3789086e-07	-9.3590620e+01
