21-Jul-2022 16:48:41 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 3.49 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	1.5605937e-04	-3.1297255e+00
3.0236934e+03	1.5695263e-04	-3.0411478e+00
3.7178480e+03	1.5408057e-04	-3.2529115e+00
4.5713609e+03	1.5513823e-04	-3.6446017e+00
5.6208162e+03	1.5459149e-04	-3.6968900e+00
6.9111968e+03	1.5338235e-04	-4.0160899e+00
8.4978124e+03	1.5126017e-04	-4.5423301e+00
1.0448670e+04	1.5007261e-04	-4.8227963e+00
1.2847390e+04	1.4848484e-04	-4.9369295e+00
1.5796787e+04	1.4740283e-04	-5.9780381e+00
1.9423284e+04	1.4511404e-04	-6.3750522e+00
2.3882321e+04	1.4196104e-04	-7.4669151e+00
2.9365027e+04	1.4235927e-04	-8.0195906e+00
3.6106408e+04	1.3819380e-04	-9.1966921e+00
4.4395419e+04	1.3593610e-04	-9.7670162e+00
5.4587353e+04	1.3338020e-04	-1.0337502e+01
6.7119068e+04	1.3034500e-04	-1.1528885e+01
8.2527710e+04	1.2630157e-04	-1.2947005e+01
1.0147374e+05	1.2281941e-04	-1.3474490e+01
1.2476925e+05	1.1974591e-04	-1.3969791e+01
1.5341274e+05	1.1521235e-04	-1.4997050e+01
1.8863197e+05	1.1093787e-04	-1.6859399e+01
2.3193654e+05	1.0633834e-04	-1.7549987e+01
2.8518262e+05	1.0184034e-04	-1.8866892e+01
3.5065250e+05	9.7572503e-05	-2.0024365e+01
4.3115241e+05	9.3382267e-05	-2.0999722e+01
5.3013282e+05	8.7826839e-05	-2.1076475e+01
6.5183634e+05	8.4280993e-05	-2.2383584e+01
8.0147956e+05	7.9560626e-05	-2.3978197e+01
9.8547663e+05	7.4372957e-05	-2.5214252e+01
1.2117142e+06	7.0130473e-05	-2.5704268e+01
1.4898896e+06	6.6745683e-05	-2.5924874e+01
1.8319261e+06	6.1524183e-05	-2.5497526e+01
2.2524846e+06	5.8355529e-05	-2.6361165e+01
2.7695915e+06	5.4597994e-05	-2.6548306e+01
3.4054115e+06	5.2119662e-05	-2.6959494e+01
4.1871977e+06	4.9650001e-05	-2.8182381e+01
5.1484601e+06	4.6707587e-05	-2.7310766e+01
6.3304011e+06	4.3864412e-05	-2.9297235e+01
7.7836824e+06	4.1634331e-05	-3.0224474e+01
9.5705960e+06	3.9955410e-05	-3.0159789e+01
1.1767734e+07	3.6910320e-05	-3.4257978e+01
1.4469274e+07	3.5325838e-05	-3.4859755e+01
1.7791010e+07	3.3477279e-05	-3.7416693e+01
2.1875324e+07	2.9314281e-05	-3.9958753e+01
2.6897280e+07	2.8551476e-05	-4.5908705e+01
3.3072136e+07	2.4616111e-05	-4.6430560e+01
4.0664565e+07	2.2573450e-05	-4.8199865e+01
5.0000000e+07	1.9820931e-05	-5.6901857e+01
