05-Jul-2022 10:49:25 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 4.05 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	1.1326158e-04	-1.0296038e+00
3.0236934e+03	1.1255888e-04	-1.5243863e+00
3.7178480e+03	1.1162230e-04	-2.8822203e+00
4.5713609e+03	1.1174885e-04	-2.2792101e+00
5.6208162e+03	1.1085391e-04	-3.0323899e+00
6.9111968e+03	1.1061419e-04	-3.1930550e+00
8.4978124e+03	1.0972269e-04	-2.8338366e+00
1.0448670e+04	1.0805543e-04	-3.4353236e+00
1.2847390e+04	1.0753659e-04	-3.6214888e+00
1.5796787e+04	1.0829815e-04	-3.6131198e+00
1.9423284e+04	1.0780822e-04	-4.1261043e+00
2.3882321e+04	1.0490065e-04	-5.0468033e+00
2.9365027e+04	1.0376497e-04	-5.1623363e+00
3.6106408e+04	1.0234867e-04	-6.0200753e+00
4.4395419e+04	1.0147436e-04	-6.6706150e+00
5.4587353e+04	1.0064773e-04	-6.3424906e+00
6.7119068e+04	9.9216245e-05	-7.0986676e+00
8.2527710e+04	9.6356783e-05	-8.0796950e+00
1.0147374e+05	9.5911376e-05	-8.7327211e+00
1.2476925e+05	9.4009348e-05	-8.7190236e+00
1.5341274e+05	9.1550230e-05	-9.2519281e+00
1.8863197e+05	9.0458366e-05	-9.9893696e+00
2.3193654e+05	8.7439261e-05	-1.0404608e+01
2.8518262e+05	8.5686499e-05	-1.1158575e+01
3.5065250e+05	8.2747142e-05	-1.0598093e+01
4.3115241e+05	8.0925068e-05	-1.1580437e+01
5.3013282e+05	7.9108266e-05	-1.1986846e+01
6.5183634e+05	7.6916048e-05	-1.2397630e+01
8.0147956e+05	7.5343447e-05	-1.3012909e+01
9.8547663e+05	7.3743540e-05	-1.3300872e+01
1.2117142e+06	7.1442717e-05	-1.5041790e+01
1.4898896e+06	6.9599672e-05	-1.4694421e+01
1.8319261e+06	6.8496724e-05	-1.5492439e+01
2.2524846e+06	6.6216477e-05	-1.5938635e+01
2.7695915e+06	6.4035780e-05	-1.7157137e+01
3.4054115e+06	6.3042496e-05	-1.8004578e+01
4.1871977e+06	6.1643914e-05	-2.0360042e+01
5.1484601e+06	5.8703505e-05	-2.2105936e+01
6.3304011e+06	5.6385987e-05	-2.5235460e+01
7.7836824e+06	5.4613389e-05	-2.8351707e+01
9.5705960e+06	5.1948328e-05	-3.0435103e+01
1.1767734e+07	4.7643037e-05	-3.4120904e+01
1.4469274e+07	4.5869259e-05	-4.0251584e+01
1.7791010e+07	4.0175118e-05	-4.5140301e+01
2.1875324e+07	3.6336529e-05	-4.9096660e+01
2.6897280e+07	3.1635455e-05	-5.5357498e+01
3.3072136e+07	2.7190730e-05	-5.9640902e+01
4.0664565e+07	2.4251748e-05	-6.4473015e+01
5.0000000e+07	1.8528648e-05	-7.1613138e+01
