05-Jul-2022 10:53:54 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 4.05 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	1.1871478e-04	-2.6061835e+00
3.0236934e+03	1.1747311e-04	-2.4414932e+00
3.7178480e+03	1.1650434e-04	-2.7420955e+00
4.5713609e+03	1.1570363e-04	-2.5307007e+00
5.6208162e+03	1.1470536e-04	-3.0851239e+00
6.9111968e+03	1.1297434e-04	-3.1158903e+00
8.4978124e+03	1.1363702e-04	-3.1482243e+00
1.0448670e+04	1.1223075e-04	-3.8314632e+00
1.2847390e+04	1.1282965e-04	-4.5557561e+00
1.5796787e+04	1.1022032e-04	-4.7112937e+00
1.9423284e+04	1.0950220e-04	-6.3953098e+00
2.3882321e+04	1.0810407e-04	-5.7338271e+00
2.9365027e+04	1.0591345e-04	-6.9098300e+00
3.6106408e+04	1.0488546e-04	-7.1097656e+00
4.4395419e+04	1.0317115e-04	-7.8939907e+00
5.4587353e+04	1.0011080e-04	-8.8845575e+00
6.7119068e+04	9.9036054e-05	-8.9609523e+00
8.2527710e+04	9.8458970e-05	-9.7858874e+00
1.0147374e+05	9.4997092e-05	-1.0657060e+01
1.2476925e+05	9.2793247e-05	-1.1567122e+01
1.5341274e+05	9.0300668e-05	-1.2404454e+01
1.8863197e+05	8.6957598e-05	-1.3206182e+01
2.3193654e+05	8.4592145e-05	-1.3145896e+01
2.8518262e+05	8.2651035e-05	-1.3965467e+01
3.5065250e+05	7.9665072e-05	-1.5286478e+01
4.3115241e+05	7.5589197e-05	-1.5446350e+01
5.3013282e+05	7.3644415e-05	-1.6023513e+01
6.5183634e+05	7.0550321e-05	-1.6095635e+01
8.0147956e+05	6.8304186e-05	-1.5767127e+01
9.8547663e+05	6.5358598e-05	-1.7063325e+01
1.2117142e+06	6.3762640e-05	-1.7199371e+01
1.4898896e+06	6.0553519e-05	-1.9035479e+01
1.8319261e+06	5.7980312e-05	-1.7056890e+01
2.2524846e+06	5.5929879e-05	-1.8439985e+01
2.7695915e+06	5.4429502e-05	-1.8866996e+01
3.4054115e+06	5.2019190e-05	-1.9274749e+01
4.1871977e+06	5.0342252e-05	-1.8810354e+01
5.1484601e+06	4.8718616e-05	-2.1166550e+01
6.3304011e+06	4.6072932e-05	-2.1248882e+01
7.7836824e+06	4.5715429e-05	-2.3248188e+01
9.5705960e+06	4.3503074e-05	-2.4588883e+01
1.1767734e+07	4.2309976e-05	-2.6569029e+01
1.4469274e+07	4.0426409e-05	-2.9470723e+01
1.7791010e+07	3.7015007e-05	-3.2666600e+01
2.1875324e+07	3.5087651e-05	-3.7385709e+01
2.6897280e+07	3.3266482e-05	-3.9510448e+01
3.3072136e+07	3.0727225e-05	-4.6943460e+01
4.0664565e+07	2.6581125e-05	-5.1441072e+01
5.0000000e+07	2.4243595e-05	-5.5418765e+01
