05-Jul-2022 11:36:31 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 4.05 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	3.2406856e-04	-1.4274493e-01
3.0236934e+03	3.2582717e-04	-1.5755039e-01
3.7178480e+03	3.2419063e-04	-3.1075764e-01
4.5713609e+03	3.2370477e-04	-2.9534575e-01
5.6208162e+03	3.2412548e-04	-5.3296154e-01
6.9111968e+03	3.2372816e-04	-5.6600537e-01
8.4978124e+03	3.2342103e-04	-8.4675012e-01
1.0448670e+04	3.2367780e-04	-7.0599738e-01
1.2847390e+04	3.2392381e-04	-1.2094550e+00
1.5796787e+04	3.2134133e-04	-9.0866922e-01
1.9423284e+04	3.2250126e-04	-1.0971318e+00
2.3882321e+04	3.2227080e-04	-1.3906263e+00
2.9365027e+04	3.2094960e-04	-1.6819744e+00
3.6106408e+04	3.2031364e-04	-1.9566359e+00
4.4395419e+04	3.1966838e-04	-2.5498577e+00
5.4587353e+04	3.1894598e-04	-2.6914124e+00
6.7119068e+04	3.1740885e-04	-3.1501687e+00
8.2527710e+04	3.1790159e-04	-3.5276219e+00
1.0147374e+05	3.1625532e-04	-4.0247643e+00
1.2476925e+05	3.1436909e-04	-4.8075333e+00
1.5341274e+05	3.1434682e-04	-5.6104630e+00
1.8863197e+05	3.1238731e-04	-6.5456457e+00
2.3193654e+05	3.1179554e-04	-7.7800407e+00
2.8518262e+05	3.0728227e-04	-9.2351667e+00
3.5065250e+05	3.0598414e-04	-1.1158853e+01
4.3115241e+05	3.0164788e-04	-1.3231172e+01
5.3013282e+05	2.9759973e-04	-1.5750594e+01
6.5183634e+05	2.9068072e-04	-1.8904937e+01
8.0147956e+05	2.8134387e-04	-2.1904028e+01
9.8547663e+05	2.7095334e-04	-2.6022835e+01
1.2117142e+06	2.5507813e-04	-3.0477906e+01
1.4898896e+06	2.3954767e-04	-3.4658624e+01
1.8319261e+06	2.1999574e-04	-3.9860584e+01
2.2524846e+06	1.9979556e-04	-4.4200069e+01
2.7695915e+06	1.7716832e-04	-4.8924105e+01
3.4054115e+06	1.5440696e-04	-5.2894038e+01
4.1871977e+06	1.3492826e-04	-5.6274971e+01
5.1484601e+06	1.1634140e-04	-5.9172251e+01
6.3304011e+06	9.9087498e-05	-6.1645604e+01
7.7836824e+06	8.4119861e-05	-6.3368667e+01
9.5705960e+06	7.2110788e-05	-6.4685383e+01
1.1767734e+07	6.1260653e-05	-6.6658398e+01
1.4469274e+07	5.1350726e-05	-6.8384973e+01
1.7791010e+07	4.4837191e-05	-6.6635460e+01
2.1875324e+07	3.6996474e-05	-6.9758405e+01
2.6897280e+07	3.2766513e-05	-6.9389686e+01
3.3072136e+07	2.6777829e-05	-7.2958023e+01
